Source Node,Target Node,Edge Rate,Timestamp,ID
0,148,0.0,10,1
0,153,0.0,10,2
0,207,0.0,10,3
0,256,0.205929,10,4
0,278,0.0,10,5
0,290,0.085759,10,6
0,40,0.050014,10,7
0,452,0.0,10,8
0,60,0.112511,10,9
0,72,0.0,10,10
0,78,0.0,10,11
1,108,0.0,10,12
1,111,0.0,10,13
1,223,0.0,10,14
1,230,0.0,10,15
1,32,0.115038,10,16
1,335,0.0,10,17
1,383,0.0,10,18
1,388,0.0,10,19
1,483,0.0,10,20
1,8,0.144331,10,21
1,87,0.0,10,22
10,191,0.0,10,23
10,22,0.0,10,24
10,281,0.09729,10,25
10,320,0.0,10,26
10,392,0.141554,10,27
10,452,0.0,10,28
10,75,0.064561,10,29
101,103,0.082587,10,30
101,109,0.057537,10,31
101,117,0.080019,10,32
101,173,0.0,10,33
101,229,0.0,10,34
101,289,0.0,10,35
101,292,0.0,10,36
101,58,0.0,10,37
102,380,0.0,10,38
103,195,0.109333,10,39
103,256,0.078831,10,40
103,292,0.15931,10,41
103,316,0.0,10,42
103,370,0.0,10,43
103,41,0.0,10,44
103,81,0.0,10,45
104,105,0.210419,10,46
104,121,0.094173,10,47
104,377,0.05844,10,48
105,121,0.071552,10,49
105,281,0.050555,10,50
107,195,0.0,10,51
107,235,0.0,10,52
107,305,0.160177,10,53
107,316,0.0,10,54
107,415,0.0,10,55
107,481,0.0,10,56
108,167,0.0,10,57
108,252,0.117251,10,58
108,254,0.054528,10,59
108,305,0.0,10,60
108,353,0.0,10,61
108,354,0.0,10,62
108,473,0.0,10,63
109,105,0.0,10,64
109,108,0.0,10,65
109,136,0.0,10,66
109,138,0.0,10,67
109,195,0.0,10,68
109,281,0.0,10,69
109,320,0.0,10,70
109,344,0.0,10,71
109,353,0.124716,10,72
109,89,0.0,10,73
111,108,0.0,10,74
111,203,0.200617,10,75
111,292,0.0,10,76
111,497,0.0,10,77
112,111,0.07225,10,78
112,121,0.056906,10,79
112,145,0.062474,10,80
