Source Node,Target Node,Edge Rate,Timestamp
0,148,0,10
0,153,0,10
0,207,0,10
0,256,0.205929,10
0,278,0,10
0,290,0.085759,10
0,40,0.050014,10
0,452,0,10
0,60,0.112511,10
0,72,0,10
0,78,0,10
1,108,0,10
1,111,0,10
1,223,0,10
1,230,0,10
1,32,0.115038,10
1,335,0,10
1,383,0,10
1,388,0,10
1,483,0,10
1,8,0.144331,10
1,87,0,10
10,191,0,10
10,22,0,10
10,281,0.09729,10
10,320,0,10
10,392,0.141554,10
10,452,0,10
10,75,0.064561,10
101,103,0.082587,10
101,109,0.057537,10
101,117,0.080019,10
101,173,0,10
101,229,0,10
101,289,0,10
101,292,0,10
101,58,0,10
102,380,0,10
103,195,0.109333,10
103,256,0.078831,10
103,292,0.15931,10
103,316,0,10
103,370,0,10
103,41,0,10
103,81,0,10
104,105,0.210419,10
104,121,0.094173,10
104,377,0.05844,10
105,121,0.071552,10
105,281,0.050555,10
107,195,0,10
107,235,0,10
107,305,0.160177,10
107,316,0,10
107,415,0,10
107,481,0,10
108,167,0,10
108,252,0.117251,10
108,254,0.054528,10
108,305,0,10
108,353,0,10
108,354,0,10
108,473,0,10
109,105,0,10
109,108,0,10
109,136,0,10
109,138,0,10
109,195,0,10
109,281,0,10
109,320,0,10
109,344,0,10
109,353,0.124716,10
109,89,0,10
111,108,0,10
111,203,0.200617,10
111,292,0,10
111,497,0,10
112,111,0.07225,10
112,121,0.056906,10
112,145,0.062474,10
112,191,0,10
112,22,0,10
112,26,0.052162,10
112,292,0,10
112,362,0.051991,10
112,434,0,10
112,477,0.065028,10
114,121,0,10
114,153,0,10
114,260,0.180449,10
114,314,0.082082,10
114,354,0,10
114,388,0.061254,10
114,491,0,10
115,170,0.051709,10
115,244,0.058479,10
115,265,0,10
115,380,0.051695,10
115,40,0,10
115,43,0.054934,10
116,122,0.121815,10
116,144,0,10
116,184,0,10
116,243,0.060284,10
116,291,0,10
116,379,0.08903,10
116,423,0.065032,10
116,435,0.170679,10
116,78,0.080458,10
117,10,0,10
117,105,0,10
117,109,0.235278,10
117,153,0,10
117,17,0,10
117,195,0,10
117,229,0,10
117,260,0,10
117,281,0,10
117,320,0,10
117,33,0.123747,10
117,85,0,10
117,89,0.184742,10
12,65,0,10
120,255,0.13466,10
120,320,0,10
120,363,0.286416,10
120,406,0.099472,10
120,421,0,10
120,484,0,10
121,17,0,10
121,377,0.086314,10
121,480,0.085208,10
122,121,0,10
122,147,0.071772,10
122,173,0,10
122,250,0.104726,10
122,415,0,10
122,434,0,10
122,71,0,10
122,72,0,10
123,169,0.054703,10
123,359,0.07317,10
123,495,0.071811,10
124,316,0.106315,10
125,153,0,10
125,265,0,10
125,297,0.120541,10
125,384,0.060475,10
125,40,0,10
125,413,0.052669,10
125,467,0,10
125,489,0,10
126,280,0,10
126,294,0.211929,10
126,300,0.148122,10
126,309,0,10
126,363,0,10
126,438,0,10
126,454,0,10
126,484,0,10
126,486,0.0886,10
126,72,0,10
127,156,0.110983,10
127,210,0.117963,10
127,280,0,10
127,287,0,10
127,335,0,10
127,354,0.155272,10
127,363,0,10
127,471,0,10
13,155,0,10
13,200,0.051549,10
13,321,0,10
131,171,0.080446,10
131,418,0,10
131,419,0.053334,10
131,454,0,10
133,109,0.072908,10
133,344,0,10
133,353,0,10
133,358,0,10
133,77,0.163121,10
134,120,0,10
134,131,0.068287,10
134,154,0.063105,10
134,196,0.123152,10
134,237,0,10
134,306,0.13937,10
134,321,0,10
134,326,0.078365,10
134,419,0,10
134,435,0,10
134,454,0,10
134,58,0,10
136,109,0,10
136,138,0.23196,10
136,170,0.069496,10
136,335,0,10
136,434,0.053312,10
136,5,0.059587,10
137,216,0.06796,10
137,281,0.061854,10
137,36,0.084674,10
138,170,0.170264,10
138,182,0.088142,10
138,214,0,10
138,287,0,10
138,335,0,10
138,434,0.179389,10
138,5,0.107422,10
140,117,0,10
140,15,0.088931,10
140,157,0,10
140,181,0.052972,10
140,221,0,10
140,236,0.08181,10
140,280,0,10
140,286,0.059594,10
140,287,0,10
140,29,0,10
140,298,0,10
140,301,0.070379,10
140,365,0.063885,10
140,383,0.069804,10
140,389,0.053727,10
140,431,0,10
140,484,0.088455,10
140,495,0.054967,10
140,95,0,10
141,0,0,10
141,115,0,10
141,173,0.167116,10
141,230,0,10
141,233,0.07208,10
141,241,0,10
141,265,0,10
141,312,0.072699,10
141,380,0,10
141,473,0,10
143,121,0.05899,10
143,245,0,10
143,377,0,10
143,459,0.088852,10
143,91,0.054998,10
144,167,0.055102,10
144,374,0,10
144,439,0.086223,10
144,441,0.079336,10
145,157,0.075776,10
145,187,0.123963,10
145,209,0.180092,10
145,473,0,10
146,10,0,10
146,108,0,10
146,145,0,10
146,149,0,10
146,180,0,10
146,187,0,10
146,213,0,10
146,216,0.063841,10
146,223,0,10
146,238,0.119372,10
146,282,0.183525,10
146,287,0,10
146,301,0.059977,10
146,303,0,10
146,328,0,10
146,335,0,10
146,380,0,10
146,414,0.10567,10
146,422,0.05245,10
146,474,0,10
146,478,0,10
146,79,0.068019,10
147,237,0,10
147,276,0,10
147,390,0,10
147,434,0.197155,10
147,71,0,10
147,72,0,10
148,0,0.120385,10
148,116,0,10
148,173,0,10
148,229,0,10
148,24,0,10
148,256,0.062562,10
148,278,0,10
148,36,0.205329,10
148,474,0,10
148,60,0,10
148,78,0,10
149,145,0,10
149,187,0,10
149,213,0,10
149,216,0.056209,10
149,23,0.075491,10
149,281,0,10
149,282,0.052475,10
149,287,0.055411,10
149,414,0.059116,10
149,474,0.054508,10
149,50,0.054162,10
15,140,0,10
15,157,0,10
15,210,0,10
15,221,0.090591,10
15,287,0,10
15,301,0,10
15,353,0.127799,10
15,389,0.163451,10
15,421,0,10
15,95,0,10
151,134,0.257345,10
151,196,0.085966,10
151,237,0,10
151,306,0.147529,10
151,321,0,10
151,326,0.172628,10
151,390,0.097568,10
151,419,0,10
151,435,0,10
151,454,0,10
151,58,0,10
151,71,0,10
151,84,0,10
153,0,0,10
153,116,0,10
153,121,0,10
153,122,0,10
153,148,0.16704,10
153,384,0,10
153,481,0,10
153,491,0.073787,10
153,78,0,10
153,97,0.069074,10
154,131,0,10
155,223,0,10
155,250,0,10
155,305,0,10
155,380,0,10
155,40,0,10
155,408,0.116618,10
155,416,0,10
155,479,0.109715,10
155,72,0,10
156,127,0,10
156,136,0.223424,10
156,210,0.10393,10
156,280,0,10
156,335,0,10
156,354,0,10
156,471,0.075124,10
156,5,0.235348,10
156,7,0.052311,10
157,156,0.054542,10
157,187,0,10
157,210,0,10
157,285,0.063786,10
157,335,0,10
157,353,0,10
157,354,0,10
157,473,0.212063,10
157,5,0,10
158,187,0.105399,10
158,335,0,10
158,386,0,10
158,443,0.152702,10
158,450,0,10
161,102,0,10
161,145,0,10
161,163,0,10
161,224,0.065214,10
161,250,0,10
161,453,0,10
161,479,0,10
161,483,0,10
163,102,0,10
163,13,0,10
163,307,0,10
163,387,0,10
163,408,0,10
163,479,0,10
164,195,0,10
164,201,0,10
164,209,0.062447,10
164,235,0.058532,10
164,316,0,10
164,352,0.055463,10
164,370,0.055661,10
164,406,0,10
164,425,0.054252,10
164,81,0,10
164,9,0.086989,10
166,124,0,10
166,125,0,10
166,136,0.053188,10
166,170,0,10
166,181,0,10
166,189,0.059089,10
166,230,0,10
166,298,0,10
166,431,0,10
166,454,0,10
166,484,0,10
166,5,0,10
167,140,0.09378,10
167,15,0.113288,10
167,254,0,10
167,286,0.076351,10
167,29,0.070826,10
167,301,0,10
167,326,0,10
167,383,0,10
167,389,0.085198,10
167,414,0.176885,10
167,421,0,10
167,484,0,10
169,108,0,10
169,117,0.052186,10
169,171,0.120119,10
169,173,0,10
169,189,0.107903,10
169,195,0,10
169,229,0.084277,10
169,360,0,10
169,365,0.064576,10
169,45,0.103778,10
169,486,0.097126,10
169,72,0,10
17,107,0.108256,10
17,313,0,10
17,335,0,10
17,370,0.153398,10
17,415,0,10
17,445,0.06219,10
170,173,0,10
170,182,0.258739,10
170,214,0,10
170,283,0.061422,10
170,313,0,10
170,380,0,10
170,478,0,10
170,62,0,10
170,71,0.108798,10
171,108,0,10
171,120,0.058295,10
171,173,0.213907,10
171,233,0.051157,10
171,250,0,10
171,280,0,10
171,419,0,10
171,435,0,10
172,108,0,10
172,19,0,10
172,237,0,10
172,335,0,10
172,354,0,10
172,380,0,10
172,45,0.056805,10
172,47,0.08765,10
172,84,0,10
172,87,0.066601,10
172,99,0.094311,10
173,0,0,10
173,10,0,10
173,108,0,10
173,230,0,10
173,233,0.36656,10
173,235,0,10
173,241,0,10
173,257,0,10
173,280,0,10
173,320,0,10
173,321,0.117143,10
173,45,0,10
173,473,0.186863,10
173,483,0.090824,10
174,136,0,10
174,179,0.06602,10
174,216,0.057346,10
174,22,0.052671,10
174,248,0.101353,10
174,36,0,10
174,390,0,10
174,424,0.060723,10
174,434,0,10
174,480,0,10
174,491,0,10
174,5,0,10
174,71,0,10
175,153,0,10
175,173,0.084424,10
175,235,0.105609,10
175,257,0,10
175,280,0,10
175,286,0.248677,10
175,3,0,10
175,321,0,10
175,33,0.095915,10
175,473,0,10
178,10,0,10
178,146,0,10
178,478,0.220403,10
178,71,0,10
179,224,0.097919,10
179,249,0.050785,10
179,290,0,10
179,295,0.104142,10
179,335,0,10
179,442,0.096123,10
179,486,0,10
18,103,0.054738,10
18,182,0,10
18,195,0,10
18,201,0,10
18,220,0.125553,10
18,223,0,10
18,224,0,10
18,242,0.086084,10
18,283,0,10
18,31,0.158618,10
18,316,0,10
18,330,0,10
18,370,0,10
18,81,0,10
180,108,0.096326,10
180,146,0,10
180,187,0,10
180,464,0.199712,10
180,53,0,10
181,114,0.055334,10
181,124,0,10
181,125,0,10
181,136,0,10
181,189,0.054836,10
181,298,0,10
181,74,0.066669,10
181,89,0.053492,10
182,178,0.09854,10
182,214,0.120555,10
182,283,0.179212,10
182,368,0.115686,10
182,380,0,10
182,478,0,10
182,62,0.050174,10
182,71,0.198432,10
183,10,0,10
183,108,0,10
183,146,0.060195,10
183,178,0.16068,10
183,213,0.139886,10
183,229,0,10
183,282,0.059104,10
183,287,0,10
183,303,0,10
183,335,0,10
183,422,0.146644,10
183,478,0.071735,10
184,243,0,10
184,62,0.13339,10
186,126,0.083458,10
186,217,0.100912,10
186,218,0.119151,10
186,70,0.058106,10
187,169,0,10
187,220,0.053164,10
187,24,0,10
187,335,0,10
187,424,0,10
187,45,0,10
187,450,0,10
189,108,0,10
189,109,0,10
189,136,0.09316,10
189,138,0,10
189,286,0.055826,10
189,354,0.078033,10
189,388,0.058236,10
189,484,0,10
189,491,0.069846,10
189,70,0.060687,10
189,74,0,10
189,89,0.071874,10
189,97,0.051404,10
19,109,0,10
19,230,0,10
19,265,0,10
19,312,0.082958,10
19,335,0,10
19,405,0.146702,10
19,406,0.229651,10
19,45,0,10
19,47,0,10
19,53,0.057912,10
19,90,0.192437,10
190,126,0.08004,10
190,186,0.172861,10
190,217,0.097494,10
190,218,0.116222,10
190,347,0,10
190,424,0,10
190,434,0,10
190,70,0.054444,10
190,87,0,10
191,148,0,10
191,193,0.068521,10
191,22,0.057774,10
191,224,0.052008,10
191,259,0,10
191,34,0.054824,10
191,349,0.050208,10
191,35,0,10
191,434,0,10
191,483,0.059401,10
191,58,0,10
192,268,0.062638,10
193,111,0,10
193,122,0.053298,10
193,13,0,10
193,161,0.05132,10
193,163,0,10
193,224,0.062618,10
193,483,0,10
194,237,0,10
194,415,0.06163,10
194,416,0,10
194,486,0.20717,10
194,71,0,10
195,105,0,10
195,108,0,10
195,171,0.066564,10
195,72,0,10
195,81,0,10
195,84,0,10
196,120,0,10
196,131,0,10
196,154,0.139414,10
196,237,0,10
196,306,0.069246,10
196,321,0,10
196,326,0,10
196,363,0,10
196,435,0,10
196,454,0.079279,10
196,58,0,10
197,108,0,10
197,180,0,10
197,252,0,10
197,353,0,10
197,393,0,10
197,461,0.203235,10
198,123,0,10
198,461,0.072678,10
198,503,0.173227,10
200,129,0,10
200,182,0,10
200,223,0.059717,10
200,283,0,10
200,330,0.073045,10
200,335,0,10
200,450,0.080843,10
200,451,0,10
201,240,0.160286,10
201,248,0.119866,10
201,320,0,10
201,484,0.0553,10
201,72,0.056035,10
202,32,0.071728,10
202,347,0.062238,10
203,108,0,10
203,17,0,10
203,497,0,10
207,105,0,10
207,116,0.121646,10
207,121,0,10
207,122,0,10
207,243,0,10
207,303,0,10
207,358,0,10
207,374,0,10
207,379,0.16588,10
207,382,0.173122,10
207,78,0.169525,10
208,248,0.108502,10
208,33,0,10
208,449,0.063228,10
208,459,0.082351,10
208,474,0.065829,10
209,157,0,10
209,18,0.251458,10
209,195,0,10
209,201,0,10
209,220,0.069172,10
209,223,0,10
209,235,0,10
209,31,0.084455,10
209,316,0,10
209,330,0,10
209,370,0,10
209,81,0,10
210,127,0.053972,10
210,151,0,10
210,243,0.227492,10
210,244,0.059313,10
210,335,0,10
210,354,0,10
213,10,0,10
213,108,0,10
213,138,0,10
213,145,0,10
213,146,0.066156,10
213,178,0.076342,10
213,180,0.139516,10
213,182,0,10
213,187,0,10
213,238,0.07442,10
213,282,0.057345,10
213,301,0.077236,10
213,302,0.057811,10
213,354,0,10
213,464,0.101413,10
213,478,0.083188,10
213,79,0.068974,10
214,173,0,10
214,178,0.146383,10
214,194,0.096951,10
214,254,0.069194,10
214,348,0,10
214,380,0,10
214,415,0,10
214,421,0.111888,10
214,478,0,10
214,486,0,10
214,71,0,10
215,105,0.073361,10
215,125,0.071334,10
215,210,0.06012,10
215,41,0.071585,10
215,418,0.073759,10
215,452,0.060321,10
215,467,0.052167,10
216,134,0.084809,10
216,151,0.182316,10
216,237,0.147709,10
216,281,0,10
216,326,0.07401,10
216,390,0,10
216,454,0,10
216,58,0,10
216,71,0,10
217,126,0.075604,10
217,70,0.069165,10
218,216,0,10
