Source Node,Target Node,Edge Rate,Timestamp
0,148,0,50
0,153,0,50
0,173,0,50
0,207,0,50
0,256,0.185864,50
0,278,0.198613,50
0,290,0,50
0,39,0,50
0,40,0,50
0,451,0,50
0,452,0,50
0,60,0,50
0,72,0,50
0,78,0,50
1,108,0,50
1,111,0,50
1,223,0,50
1,230,0,50
1,32,0,50
1,335,0,50
1,383,0,50
1,388,0,50
1,483,0,50
1,8,0.169282,50
1,87,0.145741,50
10,191,0,50
10,22,0.137704,50
10,281,0,50
10,320,0.604698,50
10,347,0,50
10,392,0.436796,50
10,452,0,50
10,72,0,50
10,75,0,50
100,353,0.063917,50
100,356,0.068463,50
100,448,0.054013,50
100,84,0.116451,50
101,103,0,50
101,109,0,50
101,117,0.132985,50
101,173,0,50
101,229,0,50
101,289,0,50
101,292,0,50
101,58,0,50
102,0,0,50
102,201,0,50
102,237,0.450931,50
102,305,0,50
102,33,0,50
102,368,0.055167,50
102,380,0.376364,50
102,388,0,50
102,39,0,50
102,406,0,50
103,195,0.090393,50
103,256,0,50
103,292,0.104133,50
103,316,0,50
103,359,0,50
103,370,0,50
103,41,0,50
103,81,0,50
104,105,0.167793,50
104,121,0.05892,50
104,185,0.0667,50
104,248,0,50
104,371,0,50
104,377,0,50
105,121,0.057982,50
105,216,0.051261,50
105,281,0.256148,50
105,320,0,50
106,170,0.052275,50
106,236,0,50
106,313,0,50
106,377,0.132512,50
106,480,0,50
106,71,0,50
107,195,0,50
107,235,0,50
107,26,0,50
107,303,0,50
107,305,0,50
107,316,0,50
107,359,0,50
107,415,0,50
107,481,0.778941,50
108,105,0.050354,50
108,167,0,50
108,22,0,50
108,252,1.54672,50
108,254,0,50
108,285,0,50
108,305,0,50
108,353,0,50
108,354,0,50
108,358,0,50
108,437,0,50
108,473,0,50
109,105,0.079697,50
109,108,0,50
109,136,0,50
109,138,0,50
109,195,0,50
109,281,0.135266,50
109,320,0,50
109,344,0,50
109,353,0.113772,50
109,484,0,50
109,489,0.064116,50
109,74,0,50
109,89,0,50
