Source Node,Target Node,Edge Rate,Timestamp
0,148,0,20
0,153,0,20
0,173,0,20
0,207,0,20
0,256,0.263555,20
0,278,0,20
0,290,0,20
0,40,0,20
0,451,0,20
0,452,0,20
0,60,0,20
0,72,0.060046,20
0,78,0,20
1,108,0,20
1,111,0.050046,20
1,223,0,20
1,230,0,20
1,32,0,20
1,335,0,20
1,383,0,20
1,388,0,20
1,483,0,20
1,8,0.183008,20
1,87,0,20
10,191,0,20
10,22,0,20
10,281,0,20
10,320,0.08727,20
10,347,0,20
10,392,0.195083,20
10,452,0,20
10,72,0,20
10,75,0,20
101,103,0,20
101,109,0,20
101,117,0.076134,20
101,173,0,20
101,229,0,20
101,289,0,20
101,292,0,20
101,58,0,20
102,0,0,20
102,201,0,20
102,237,0,20
102,305,0,20
102,33,0,20
102,368,0.139937,20
102,380,0,20
102,388,0,20
102,39,0,20
102,406,0,20
103,195,0.109969,20
103,256,0,20
103,292,0.301329,20
103,316,0.058351,20
103,359,0,20
103,370,0,20
103,41,0,20
103,81,0,20
104,105,0.142331,20
104,121,0.110536,20
104,185,0.060849,20
104,248,0,20
104,371,0,20
104,377,0.055411,20
105,121,0,20
105,216,0,20
105,281,0,20
105,320,0,20
107,195,0,20
107,235,0.050618,20
107,26,0,20
107,303,0,20
107,305,0,20
107,316,0,20
107,359,0,20
107,415,0,20
107,481,0.225247,20
108,167,0,20
108,22,0,20
108,252,0.133827,20
108,254,0,20
108,285,0,20
108,305,0,20
108,353,0,20
108,354,0,20
108,358,0.062343,20
108,437,0,20
108,473,0.109205,20
109,105,0.246455,20
109,108,0,20
109,136,0,20
109,138,0,20
109,195,0,20
109,281,0,20
109,320,0,20
109,344,0,20
109,353,0.140296,20
109,484,0,20
109,489,0,20
109,74,0,20
109,89,0,20
11,123,0.051041,20
11,287,0.063877,20
11,399,0.072875,20
11,508,0.067712,20
110,123,0,20
110,143,0,20
110,144,0.067158,20
110,233,0,20
110,303,0,20
110,343,0.054979,20
110,359,0,20
110,455,0.058177,20
110,82,0.058916,20
111,108,0,20
111,203,0.147266,20
111,292,0.086876,20
111,497,0,20
112,111,0.188146,20
112,121,0.115567,20
112,138,0,20
112,145,0,20
112,169,0,20
112,191,0,20
112,22,0,20
112,236,0,20
112,26,0,20
112,287,0,20
112,292,0.062596,20
112,362,0.057974,20
112,377,0,20
112,434,0,20
112,445,0,20
112,477,0.077151,20
114,121,0,20
114,153,0,20
114,216,0,20
114,26,0,20
114,260,0,20
114,314,0.237585,20
114,33,0,20
114,354,0,20
114,388,0,20
114,491,0,20
114,71,0,20
115,0,0,20
115,102,0,20
115,170,0,20
115,244,0,20
115,265,0,20
115,33,0,20
115,380,0,20
115,39,0,20
115,40,0,20
